CustomerID;FullName;CustomerType;Country;DateOnboarded;Occupation;RiskRating;PEP_Flag;Email;Phone 
CUST0001;Petar Ivanov;Individual;France;24.2.2020;Real Estate Agent;Low;No;petar28@gmail.com;088 068 8508
CUST0002;Omar Wang;Individual;Bulgaria;15.10.2020;Freelancer;Low;No;omar49@mail.com;089 173 3052
CUST0003;Georgi Kowalski;Individual;Belarus;19.11.2019;Unemployed;High;No;georgi91@mail.com;088 791 0620
CUST0004;Nikolay Vasilev;Business;Italy;2.3.2023;Construction Manager;Low;No;nikolay78@gmail.com;088 727 1339
CUST0005;John Angelov;Business;Spain;18.6.2021;Consultant;Low;No;john52@yahoo.com;089 885 2787
CUST0006;Todor Muller;Individual;India;8.8.2020;Teacher;Medium;No;todor75@abv.bg;088 463 4277
CUST0007;Nikolay Georgiev;Business;France;26.9.2023;Import/Export Trader;Low;No;nikolay2@mail.com;089 788 7352
CUST0008;Fatima Dimitrov;Individual;Bulgaria;14.12.2021;Accountant;Medium;No;fatima82@gmail.com;088 566 5579
CUST0009;Ahmed Muller;Individual;Syria;9.7.2021;Accountant;High;No;ahmed98@gmail.com;089 567 6510
CUST0010;Silvia Rossi;Business;Netherlands;17.1.2025;Real Estate Agent;Low;No;silvia57@abv.bg;088 716 7136
CUST0011;Maria Gonzalez;Individual;Bulgaria;18.10.2019;Software Engineer;Low;No;maria66@gmail.com;089 532 4643
CUST0012;Andrei Vasilev;Business;UAE;22.1.2020;Import/Export Trader;Medium;No;andrei87@mail.com;089 093 9482
CUST0013;Vasil Todorov;Individual;Austria;21.1.2021;Import/Export Trader;Low;No;vasil13@mail.com;089 797 6638
CUST0014;Nikolay Vasilev;Individual;Netherlands;1.7.2023;Real Estate Agent;Medium;Yes;nikolay37@abv.bg;089 779 4022
CUST0015;Kristina Todorov;Individual;Iran;7.8.2022;Unemployed;High;No;kristina66@mail.com;088 272 3939
CUST0016;Vasil Al-Rashid;Individual;UAE;29.6.2025;Restaurant Owner;Low;No;vasil34@gmail.com;089 035 0280
CUST0017;Sarah Nikolov;Individual;Canada;25.10.2019;Accountant;Low;No;sarah65@yahoo.com;089 117 2132
CUST0018;Li Kolev;Individual;Cyprus;24.5.2022;Software Engineer;Low;No;li39@mail.com;088 437 7312
CUST0019;Ani Silva;Individual;Netherlands;11.5.2022;Import/Export Trader;Low;No;ani12@abv.bg;088 110 3717
CUST0020;Stefan Angelov;Individual;Austria;16.4.2025;Currency Exchange Operator;Low;No;stefan48@gmail.com;088 142 3232
CUST0021;Georgi Zhelyazkov;Individual;Germany;19.12.2022;Restaurant Owner;Low;No;georgi21@gmail.com;088 028 8073
CUST0022;Carlos Vasilev;Individual;Turkey;16.4.2023;Unemployed;High;No;carlos40@gmail.com;088 651 7821
CUST0023;Hristo Petrov;Business;Spain;26.6.2023;Software Engineer;Low;No;hristo23@yahoo.com;089 955 5673
CUST0024;Ahmed Wang;Individual;Austria;19.6.2025;Retired;N/A;No;ahmed88@gmail.com;088 279 6503
CUST0025;Ahmed Dimitrov;Individual;Sweden;31.7.2023;Consultant;Low;No;ahmed87@gmail.com;088 952 5800
CUST0026;Rumen Kolev;Individual;Serbia;12.8.2022;Import/Export Trader;Medium;No;rumen85@mail.com;089 945 1470
CUST0027;Vasil Kolev;Individual;Bulgaria;7.9.2019;Accountant;Low;No;vasil25@abv.bg;088 725 4739
CUST0028;Ani Wang;Individual;Cyprus;22.10.2024;Accountant;Medium;No;ani86@yahoo.com;089 474 2412
CUST0029;Layla Kowalski;Business;India;18.1.2024;Freelancer;Medium;No;layla81@gmail.com;088 284 8206
CUST0030;Vasil Angelov;Individual;Turkey;20.7.2020;Consultant;Medium;No;vasil43@abv.bg;088 697 3349
CUST0031;John Gonzalez;Business;Ireland;8.4.2023;Real Estate Agent;Low;No;john69@gmail.com;088 855 7007
CUST0032;Maria Al-Rashid;Individual;Austria;7.11.2020;Retired;Low;No;maria76@mail.com;089 324 2291
CUST0033;Boris Georgiev;Individual;Italy;31.8.2022;Unemployed;Low;No;boris61@mail.com;088 146 6960
CUST0034;Dimitar Georgiev;Individual;Afghanistan;25.3.2019;Accountant;High;No;dimitar60@yahoo.com;088 573 5324
CUST0035;Yordan Kolev;Individual;Sweden;16.6.2025;Construction Manager;Low;No;yordan89@g@mail.com;088 999 1597
CUST0036;Georgi Zhelyazkov;Individual;Germany;3.9.2024;Import/Export Trader;N/A;No;georgi82@abv.bg;089 328 4692
CUST0037;Omar Muller;Individual;Serbia;4.1.2022;Teacher;Medium;No;omar97@abv.bg;089 245 2737
CUST0038;Elena Marinov;Individual;Sweden;26.10.2022;Retired;Low;No;elena11@gmail.com;089 568 2144
CUST0039;Andrei Muller;Individual;Sweden;26.6.2021;Doctor;Low;No;andrei45@abv.bg;089 744 6859
CUST0040;Olga Angelov;Individual;Netherlands;16.7.2022;Business Owner;Low;No;olga36@yahoo.com;088 641 0636
CUST0041;Li Stoyanov;Individual;France;28.1.2022;Business Owner;Low;No;li14@mail.com;089 560 1968
CUST0042;Fatima Stoyanov;Business;Italy;12.4.2020;Lawyer;Low;No;fatima20@yahoo.com;088 722 4205
CUST0043;Radost Rossi;Individual;China;23.10.2023;Construction Manager;Medium;No;radost81@gmail.com;088 226 4686
CUST0044;Boris Silva;Individual;Italy;4.8.2024;Construction Manager;Low;No;boris88@gmail.com;089 879 3300
